title,rating,year_of_release,director,actors,runtime,url
Le trou,8.5,1960,Jacques Becker,André Bervil; Jean Keraudy; Michel Constantin; Philippe Leroy,131,/title/tt0054407/?ref_=adv_li_tt
Psycho,8.5,1960,Alfred Hitchcock,Anthony Perkins; Janet Leigh; Vera Miles; John Gavin,109,/title/tt0054215/?ref_=adv_li_tt
Het appartement,8.3,1960,Billy Wilder,Jack Lemmon; Shirley MacLaine; Fred MacMurray; Ray Walston,125,/title/tt0053604/?ref_=adv_li_tt
Rocco e i suoi fratelli,8.2,1960,Luchino Visconti,Alain Delon; Renato Salvatori; Annie Girardot; Claudia Cardinale,179,/title/tt0054248/?ref_=adv_li_tt
Mughal-E-Azam,8.1,1960,K. Asif,Prithviraj Kapoor; Madhubala; Dilip Kumar; Durga Khote,197,/title/tt0054098/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Seppuku,8.6,1962,Masaki Kobayashi,Tatsuya Nakadai; Akira Ishihama; Shima Iwashita; Tetsurô Tanba,133,/title/tt0056058/?ref_=adv_li_tt
Lawrence of Arabia,8.3,1962,David Lean,Peter O'Toole; Alec Guinness; Anthony Quinn; Jack Hawkins,218,/title/tt0056172/?ref_=adv_li_tt
To Kill a Mockingbird,8.3,1962,Robert Mulligan,Gregory Peck; John Megna; Frank Overton; Rosemary Murphy,129,/title/tt0056592/?ref_=adv_li_tt
Il sorpasso,8.2,1962,Dino Risi,Vittorio Gassman; Catherine Spaak; Jean-Louis Trintignant; Claudio Gora,105,/title/tt0056512/?ref_=adv_li_tt
The Man Who Shot Liberty Valance,8.1,1962,John Ford,James Stewart; John Wayne; Vera Miles; Lee Marvin,123,/title/tt0056217/?ref_=adv_li_tt
High and Low,8.4,1963,Akira Kurosawa,Toshirô Mifune; Yutaka Sada; Tatsuya Nakadai; Kyôko Kagawa,143,/title/tt0057565/?ref_=adv_li_tt
The Great Escape,8.2,1963,John Sturges,Steve McQueen; James Garner; Richard Attenborough; Charles Bronson,172,/title/tt0057115/?ref_=adv_li_tt
8½,8.0,1963,Federico Fellini,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale; Sandra Milo,138,/title/tt0056801/?ref_=adv_li_tt
El verdugo,8.0,1963,Luis García Berlanga,Nino Manfredi; Emma Penella; José Isbert; José Luis López Vázquez,87,/title/tt0057643/?ref_=adv_li_tt
Nattvardsgästerna,8.0,1963,Ingmar Bergman,Ingrid Thulin; Gunnar Björnstrand; Gunnel Lindblom; Max von Sydow,81,/title/tt0057358/?ref_=adv_li_tt
De vrouw in het zand,8.5,1964,Hiroshi Teshigahara,Eiji Okada; Kyôko Kishida; Hiroko Itô; Kôji Mitsui,147,/title/tt0058625/?ref_=adv_li_tt
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Stanley Kubrick,Peter Sellers; George C. Scott; Sterling Hayden; Keenan Wynn,95,/title/tt0057012/?ref_=adv_li_tt
Soy Cuba,8.2,1964,Mikhail Kalatozov,Sergio Corrieri; Salvador Wood; José Gallardo; Raúl García,141,/title/tt0058604/?ref_=adv_li_tt
Charulata,8.1,1964,Satyajit Ray,Soumitra Chatterjee; Madhavi Mukherjee; Shailen Mukherjee; Shyamal Ghoshal,117,/title/tt0057935/?ref_=adv_li_tt
Fail Safe,8.0,1964,Sidney Lumet,Henry Fonda; Walter Matthau; Fritz Weaver; Dan O'Herlihy,112,/title/tt0058083/?ref_=adv_li_tt
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5,1965,Leonid Gaidai,Aleksandr Demyanenko; Mikhail Pugovkin; Aleksei Smirnov; Vladimir Basov,95,/title/tt0059550/?ref_=adv_li_tt
Guide,8.4,1965,Vijay Anand,Dev Anand; Waheeda Rehman; Leela Chitnis; Anwar Hussain,183,/title/tt0059246/?ref_=adv_li_tt
Oorlog en Vrede,8.3,1965,Sergey Bondarchuk,Lyudmila Saveleva; Vyacheslav Tikhonov; Sergey Bondarchuk; Boris Zakhava,453,/title/tt0063794/?ref_=adv_li_tt
Akahige,8.3,1965,Akira Kurosawa,Toshirô Mifune; Yûzô Kayama; Tsutomu Yamazaki; Reiko Dan,185,/title/tt0058888/?ref_=adv_li_tt
Het winkeltje aan 't Corso,8.2,1965,"Ján Kadár, Elmar Klos",Ida Kaminska; Jozef Kroner; Frantisek Zvarík; Hana Slivková,128,/title/tt0059527/?ref_=adv_li_tt
"The Good, the Bad and the Ugly",8.8,1966,Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,161,/title/tt0060196/?ref_=adv_li_tt
"The Good, the Bad and the Ugly",8.8,1966,Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,161,/title/tt0060196/?ref_=adv_li_tt
"The Good, the Bad and the Ugly",8.8,1966,Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,161,/title/tt0060196/?ref_=adv_li_tt
"The Good, the Bad and the Ugly",8.8,1966,Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,161,/title/tt0060196/?ref_=adv_li_tt
"The Good, the Bad and the Ugly",8.8,1966,Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,161,/title/tt0060196/?ref_=adv_li_tt
Jôi-uchi: Hairyô tsuma shimatsu,8.3,1967,Masaki Kobayashi,Toshirô Mifune; Yôko Tsukasa; Gô Katô; Tatsuyoshi Ehara,128,/title/tt0061847/?ref_=adv_li_tt
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.3,1967,Leonid Gaidai,Aleksandr Demyanenko; Natalya Varley; Vladimir Etush; Frunzik Mkrtchyan,82,/title/tt0060584/?ref_=adv_li_tt
Cool Hand Luke,8.1,1967,Stuart Rosenberg,Paul Newman; George Kennedy; Strother Martin; J.D. Cannon,127,/title/tt0061512/?ref_=adv_li_tt
Le Samouraï,8.0,1967,Jean-Pierre Melville,Alain Delon; François Périer; Nathalie Delon; Cathy Rosier,105,/title/tt0062229/?ref_=adv_li_tt
The Graduate,8.0,1967,Mike Nichols,Dustin Hoffman; Anne Bancroft; Katharine Ross; William Daniels,106,/title/tt0061722/?ref_=adv_li_tt
Once Upon a Time in the West,8.5,1968,Sergio Leone,Henry Fonda; Charles Bronson; Claudia Cardinale; Jason Robards,165,/title/tt0064116/?ref_=adv_li_tt
2001: Een zwerftocht in de ruimte,8.3,1968,Stanley Kubrick,Keir Dullea; Gary Lockwood; William Sylvester; Daniel Richter,149,/title/tt0062622/?ref_=adv_li_tt
Padosan,8.1,1968,Jyoti Swaroop,Sunil Dutt; Saira Banu; Mehmood; Kishore Kumar,157,/title/tt0063404/?ref_=adv_li_tt
Apenplaneet,8.0,1968,Franklin J. Schaffner,Charlton Heston; Roddy McDowall; Kim Hunter; Maurice Evans,112,/title/tt0063442/?ref_=adv_li_tt
Skammen,8.0,1968,Ingmar Bergman,Liv Ullmann; Max von Sydow; Sigge Fürst; Gunnar Björnstrand,103,/title/tt0063611/?ref_=adv_li_tt
A tanú,8.7,1969,Péter Bacsó,Ferenc Kállai; Lajos Öze; Béla Both; Zoltán Fábri,105,/title/tt0065067/?ref_=adv_li_tt
Brilliantovaya ruka,8.3,1969,Leonid Gaidai,Yuriy Nikulin; Nina Grebeshkova; Andrey Mironov; Anatoliy Papanov,94,/title/tt0062759/?ref_=adv_li_tt
Z,8.2,1969,Costa-Gavras,Yves Montand; Irene Papas; Jean-Louis Trintignant; François Périer,127,/title/tt0065234/?ref_=adv_li_tt
The Army of Shadows,8.1,1969,Jean-Pierre Melville,Lino Ventura; Paul Meurisse; Jean-Pierre Cassel; Simone Signoret,145,/title/tt0064040/?ref_=adv_li_tt
Spalovac mrtvol,8.0,1969,Juraj Herz,Rudolf Hrusínský; Vlasta Chramostová; Jana Stehnová; Milos Vognic,102,/title/tt0063633/?ref_=adv_li_tt
De dader staat boven verdenking,8.0,1970,Elio Petri,Gian Maria Volontè; Florinda Bolkan; Gianni Santuccio; Orazio Orlando,115,/title/tt0065889/?ref_=adv_li_tt
Mera Naam Joker,7.9,1970,Raj Kapoor,Raj Kapoor; Manoj Kumar; Simi Garewal; Rishi Kapoor,224,/title/tt0066070/?ref_=adv_li_tt
De Rode Cirkel,7.9,1970,Jean-Pierre Melville,Alain Delon; Bourvil; Gian Maria Volontè; Yves Montand,140,/title/tt0065531/?ref_=adv_li_tt
Il conformista,7.9,1970,Bernardo Bertolucci,Jean-Louis Trintignant; Stefania Sandrelli; Gastone Moschin; Enzo Tarascio,113,/title/tt0065571/?ref_=adv_li_tt
Patton,7.9,1970,Franklin J. Schaffner,George C. Scott; Karl Malden; Stephen Young; Michael Strong,172,/title/tt0066206/?ref_=adv_li_tt
De Laatste Kruistocht,8.5,1971,Sergiu Nicolaescu,Amza Pellea; Ion Besoiu; Olga Tudorache; Irina Gardescu,203,/title/tt0066078/?ref_=adv_li_tt
Dzhentlmeny udachi,8.4,1971,Aleksandr Seryy,Evgeniy Leonov; Georgiy Vitsin; Saveliy Kramarov; Radner Muratov,88,/title/tt0068519/?ref_=adv_li_tt
A Clockwork Orange,8.3,1971,Stanley Kubrick,Malcolm McDowell; Patrick Magee; Michael Bates; Warren Clarke,136,/title/tt0066921/?ref_=adv_li_tt
12 stulev,8.2,1971,Leonid Gaidai,Archil Gomiashvili; Sergey Filippov; Mikhail Pugovkin; Glikeriya Bogdanova-Chesnokova,153,/title/tt0065670/?ref_=adv_li_tt
Anand,8.1,1971,Hrishikesh Mukherjee,Rajesh Khanna; Amitabh Bachchan; Sumita Sanyal; Ramesh Deo,122,/title/tt0066763/?ref_=adv_li_tt
The Godfather,9.2,1972,Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan; Diane Keaton,175,/title/tt0068646/?ref_=adv_li_tt
The Godfather,9.2,1972,Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan; Diane Keaton,175,/title/tt0068646/?ref_=adv_li_tt
The Godfather,9.2,1972,Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan; Diane Keaton,175,/title/tt0068646/?ref_=adv_li_tt
The Godfather,9.2,1972,Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan; Diane Keaton,175,/title/tt0068646/?ref_=adv_li_tt
The Godfather,9.2,1972,Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan; Diane Keaton,175,/title/tt0068646/?ref_=adv_li_tt
Canim Kardesim,8.7,1973,Ertem Egilmez,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,85,/title/tt0267351/?ref_=adv_li_tt
Canim Kardesim,8.7,1973,Ertem Egilmez,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,85,/title/tt0267351/?ref_=adv_li_tt
Canim Kardesim,8.7,1973,Ertem Egilmez,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,85,/title/tt0267351/?ref_=adv_li_tt
Canim Kardesim,8.7,1973,Ertem Egilmez,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,85,/title/tt0267351/?ref_=adv_li_tt
Canim Kardesim,8.7,1973,Ertem Egilmez,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,85,/title/tt0267351/?ref_=adv_li_tt
The Godfather Part II,9.0,1974,Francis Ford Coppola,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,202,/title/tt0071562/?ref_=adv_li_tt
The Godfather Part II,9.0,1974,Francis Ford Coppola,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,202,/title/tt0071562/?ref_=adv_li_tt
The Godfather Part II,9.0,1974,Francis Ford Coppola,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,202,/title/tt0071562/?ref_=adv_li_tt
The Godfather Part II,9.0,1974,Francis Ford Coppola,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,202,/title/tt0071562/?ref_=adv_li_tt
The Godfather Part II,9.0,1974,Francis Ford Coppola,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,202,/title/tt0071562/?ref_=adv_li_tt
Hababam Sinifi,9.2,1975,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,87,/title/tt0252487/?ref_=adv_li_tt
Hababam Sinifi,9.2,1975,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,87,/title/tt0252487/?ref_=adv_li_tt
Hababam Sinifi,9.2,1975,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,87,/title/tt0252487/?ref_=adv_li_tt
Hababam Sinifi,9.2,1975,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,87,/title/tt0252487/?ref_=adv_li_tt
Hababam Sinifi,9.2,1975,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,87,/title/tt0252487/?ref_=adv_li_tt
Tosun Pasa,8.9,1976,Kartal Tibet,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,90,/title/tt0253828/?ref_=adv_li_tt
Al-risâlah,8.9,1976,Moustapha Akkad,Abdallah Gheith; Mona Wassef; Hamdy Gheith; Ali Achmed Taram,207,/title/tt0075143/?ref_=adv_li_tt
Hababam Sinifi Sinifta Kaldi,8.9,1976,Ertem Egilmez,Kemal Sunal; Münir Özkul; Semra Özdamar; Adile Nasit,91,/title/tt0252488/?ref_=adv_li_tt
Tosun Pasa,8.9,1976,Kartal Tibet,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,90,/title/tt0253828/?ref_=adv_li_tt
Tosun Pasa,8.9,1976,Kartal Tibet,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,90,/title/tt0253828/?ref_=adv_li_tt
Hababam Sinifi Uyaniyor,8.8,1977,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Adile Nasit,94,/title/tt0252490/?ref_=adv_li_tt
Hababam Sinifi Uyaniyor,8.8,1977,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Adile Nasit,94,/title/tt0252490/?ref_=adv_li_tt
Hababam Sinifi Uyaniyor,8.8,1977,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Adile Nasit,94,/title/tt0252490/?ref_=adv_li_tt
Hababam Sinifi Uyaniyor,8.8,1977,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Adile Nasit,94,/title/tt0252490/?ref_=adv_li_tt
Hababam Sinifi Uyaniyor,8.8,1977,Ertem Egilmez,Kemal Sunal; Münir Özkul; Halit Akçatepe; Adile Nasit,94,/title/tt0252490/?ref_=adv_li_tt
Kibar Feyzo,8.7,1978,Atif Yilmaz,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,83,/title/tt0252597/?ref_=adv_li_tt
Kibar Feyzo,8.7,1978,Atif Yilmaz,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,83,/title/tt0252597/?ref_=adv_li_tt
Kibar Feyzo,8.7,1978,Atif Yilmaz,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,83,/title/tt0252597/?ref_=adv_li_tt
Neseli Günler,8.7,1978,Orhan Aksoy,Münir Özkul; Adile Nasit; Sener Sen; Aysen Gruda,95,/title/tt0765833/?ref_=adv_li_tt
Kibar Feyzo,8.7,1978,Atif Yilmaz,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,83,/title/tt0252597/?ref_=adv_li_tt
Alien,8.5,1979,Ridley Scott,Sigourney Weaver; Tom Skerritt; John Hurt; Veronica Cartwright,117,/title/tt0078748/?ref_=adv_li_tt
Apocalypse Now,8.5,1979,Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall; Frederic Forrest,147,/title/tt0078788/?ref_=adv_li_tt
Golmaal,8.5,1979,Hrishikesh Mukherjee,Amol Palekar; Bindiya Goswami; Deven Verma; Shobha Khote,120,/title/tt0079221/?ref_=adv_li_tt
Stalker,8.1,1979,Andrei Tarkovsky,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn; Nikolay Grinko,162,/title/tt0079944/?ref_=adv_li_tt
Korkusuz Korkak,8.1,1979,Natuk Baytan,Kemal Sunal; Aysin Atav; Turgut Özatay; Nejat Gürçen,77,/title/tt0252611/?ref_=adv_li_tt
Ko to tamo peva,8.8,1980,Slobodan Sijan,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,86,/title/tt0076276/?ref_=adv_li_tt
Ko to tamo peva,8.8,1980,Slobodan Sijan,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,86,/title/tt0076276/?ref_=adv_li_tt
Ko to tamo peva,8.8,1980,Slobodan Sijan,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,86,/title/tt0076276/?ref_=adv_li_tt
Ko to tamo peva,8.8,1980,Slobodan Sijan,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,86,/title/tt0076276/?ref_=adv_li_tt
Ko to tamo peva,8.8,1980,Slobodan Sijan,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,86,/title/tt0076276/?ref_=adv_li_tt
Das Boot,8.4,1981,Wolfgang Petersen,Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann; Hubertus Bengsch,149,/title/tt0082096/?ref_=adv_li_tt
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Steven Spielberg,Harrison Ford; Karen Allen; Paul Freeman; John Rhys-Davies,115,/title/tt0082971/?ref_=adv_li_tt
Vuk,8.3,1981,Attila Dargay,Judit Pogány; József Gyabronka; Teri Földi; Gyula Szabó,79,/title/tt0131636/?ref_=adv_li_tt
Mis,8.2,1981,Stanislaw Bareja,Stanislaw Tym; Barbara Burska; Christine Paul; Krzysztof Kowalewski,111,/title/tt0082755/?ref_=adv_li_tt
Davaro: Son Eskiya,8.1,1981,Kartal Tibet,Kemal Sunal; Sener Sen; Pembe Mutlu; Adile Nasit,94,/title/tt0252361/?ref_=adv_li_tt
Maratonci trce pocasni krug,8.9,1982,Slobodan Sijan,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,92,/title/tt0084302/?ref_=adv_li_tt
Maratonci trce pocasni krug,8.9,1982,Slobodan Sijan,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,92,/title/tt0084302/?ref_=adv_li_tt
Maratonci trce pocasni krug,8.9,1982,Slobodan Sijan,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,92,/title/tt0084302/?ref_=adv_li_tt
Maratonci trce pocasni krug,8.9,1982,Slobodan Sijan,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,92,/title/tt0084302/?ref_=adv_li_tt
Maratonci trce pocasni krug,8.9,1982,Slobodan Sijan,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,92,/title/tt0084302/?ref_=adv_li_tt
Jaane Bhi Do Yaaro,8.3,1983,Kundan Shah,Naseeruddin Shah; Ravi Baswani; Bhakti Barve; Satish Shah,132,/title/tt0085743/?ref_=adv_li_tt
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Richard Marquand,Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams,131,/title/tt0086190/?ref_=adv_li_tt
Scarface,8.3,1983,Brian De Palma,Al Pacino; Michelle Pfeiffer; Steven Bauer; Mary Elizabeth Mastrantonio,170,/title/tt0086250/?ref_=adv_li_tt
Hadashi no Gen,8.0,1983,Mori Masaki,Issei Miyazaki; Catherine Battistone; Yoshie Shimamura; Iona Morris,83,/title/tt0085218/?ref_=adv_li_tt
Nostalghia,8.0,1983,Andrei Tarkovsky,Oleg Yankovskiy; Erland Josephson; Domiziana Giordano; Patrizia Terreno,125,/title/tt0086022/?ref_=adv_li_tt
Balkanski spijun,8.8,1984,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,95,/title/tt0086935/?ref_=adv_li_tt
Balkanski spijun,8.8,1984,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,95,/title/tt0086935/?ref_=adv_li_tt
Balkanski spijun,8.8,1984,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,95,/title/tt0086935/?ref_=adv_li_tt
Balkanski spijun,8.8,1984,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,95,/title/tt0086935/?ref_=adv_li_tt
Balkanski spijun,8.8,1984,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,95,/title/tt0086935/?ref_=adv_li_tt
Zügürt Aga,8.7,1985,Nesli Çölgeçen,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,101,/title/tt0201368/?ref_=adv_li_tt
Zügürt Aga,8.7,1985,Nesli Çölgeçen,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,101,/title/tt0201368/?ref_=adv_li_tt
Zügürt Aga,8.7,1985,Nesli Çölgeçen,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,101,/title/tt0201368/?ref_=adv_li_tt
Zügürt Aga,8.7,1985,Nesli Çölgeçen,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,101,/title/tt0201368/?ref_=adv_li_tt
Zügürt Aga,8.7,1985,Nesli Çölgeçen,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,101,/title/tt0201368/?ref_=adv_li_tt
Aliens,8.4,1986,James Cameron,Sigourney Weaver; Michael Biehn; Carrie Henn; Paul Reiser,137,/title/tt0090605/?ref_=adv_li_tt
Macskafogó,8.3,1986,Béla Ternovszky,Miklós Benedek; Gyula Bodrogi; Ilona Béres; Péter Haumann,96,/title/tt0179955/?ref_=adv_li_tt
Jean de Florette,8.1,1986,Claude Berri,Yves Montand; Gérard Depardieu; Daniel Auteuil; Elisabeth Depardieu,120,/title/tt0091288/?ref_=adv_li_tt
Platoon,8.1,1986,Oliver Stone,Charlie Sheen; Tom Berenger; Willem Dafoe; Keith David,120,/title/tt0091763/?ref_=adv_li_tt
Stand by Me,8.1,1986,Rob Reiner,Wil Wheaton; River Phoenix; Corey Feldman; Jerry O'Connell,89,/title/tt0092005/?ref_=adv_li_tt
Nadodikkattu,8.8,1987,Sathyan Anthikad,Mohanlal; Sreenivasan; Thilakan; Shobana,158,/title/tt0282778/?ref_=adv_li_tt
Nadodikkattu,8.8,1987,Sathyan Anthikad,Mohanlal; Sreenivasan; Thilakan; Shobana,158,/title/tt0282778/?ref_=adv_li_tt
Nadodikkattu,8.8,1987,Sathyan Anthikad,Mohanlal; Sreenivasan; Thilakan; Shobana,158,/title/tt0282778/?ref_=adv_li_tt
Nadodikkattu,8.8,1987,Sathyan Anthikad,Mohanlal; Sreenivasan; Thilakan; Shobana,158,/title/tt0282778/?ref_=adv_li_tt
Nadodikkattu,8.8,1987,Sathyan Anthikad,Mohanlal; Sreenivasan; Thilakan; Shobana,158,/title/tt0282778/?ref_=adv_li_tt
Chithram,8.7,1988,Priyadarshan,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,159,/title/tt0214585/?ref_=adv_li_tt
Chithram,8.7,1988,Priyadarshan,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,159,/title/tt0214585/?ref_=adv_li_tt
Chithram,8.7,1988,Priyadarshan,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,159,/title/tt0214585/?ref_=adv_li_tt
Chithram,8.7,1988,Priyadarshan,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,159,/title/tt0214585/?ref_=adv_li_tt
Chithram,8.7,1988,Priyadarshan,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,159,/title/tt0214585/?ref_=adv_li_tt
Kireedam,8.9,1989,Sibi Malayil,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,124,/title/tt0237376/?ref_=adv_li_tt
Kireedam,8.9,1989,Sibi Malayil,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,124,/title/tt0237376/?ref_=adv_li_tt
Kireedam,8.9,1989,Sibi Malayil,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,124,/title/tt0237376/?ref_=adv_li_tt
Kireedam,8.9,1989,Sibi Malayil,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,124,/title/tt0237376/?ref_=adv_li_tt
Kireedam,8.9,1989,Sibi Malayil,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,124,/title/tt0237376/?ref_=adv_li_tt
Goodfellas,8.7,1990,Martin Scorsese,Robert De Niro; Ray Liotta; Joe Pesci; Lorraine Bracco,145,/title/tt0099685/?ref_=adv_li_tt
Nema-ye Nazdik,8.2,1990,Abbas Kiarostami,Hossain Sabzian; Mohsen Makhmalbaf; Abolfazl Ahankhah; Mehrdad Ahankhah,98,/title/tt0100234/?ref_=adv_li_tt
